Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
11,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002521703,______ _________ _____ _____,MUNICIPAL SECRETARIAT ,,1.55,1.57,1.35,5.00,5.00,5.00,5.00,5.00,,,HEALTH (S)
12,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002521204,__. _________ ______ ____,MUNICIPAL SECRETARIAT ,,3.17,7.81,12.19,40.00,15.00,15.00,20.00,20.00,,,HOTMIX
13,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002521605,____ ______ ______ ______ _______ ______,MUNICIPAL SECRETARIAT ,,0.00,0.50,0.20,0.50,0.50,0.50,0.50,0.50,,,L.B.T./OCTROI DEPT.
14,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522006,__. _______ _._.__. ______ _____,MUNICIPAL SECRETARIAT ,,0.73,0.43,0.34,2.00,3.00,3.00,3.00,3.00,,,LIBRARY DEPT.
15,A2 Revenue Expenditure,0 General Administration,Municipal Body,A20002522207,________ _______ ___________ (______________),MUNICIPAL SECRETARIAT ,,4.26,3.19,1.85,25.00,10.00,10.00,15.00,25.00,,,MARKET DEPT.
16,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120308,_______ _ _________ ____ (1) _____ _____ _ ________ ______ __. 15 ____ _____ (2) _._.__. ____ _____ ________ _________,G.A.D.,,89.63,84.62,80.54,225.00,150.00,150.00,150.00,225.00,,,MUNICIPAL SECRETARIAT 
17,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122009,______ ____,G.A.D.,,54.23,18.93,45.22,50.00,25.00,25.00,25.00,25.00,,,P.W.D.
18,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122010,_________ ________ ______ ____,G.A.D.,,0.43,12.55,21.79,20.00,15.00,15.00,20.00,30.00,,,P.W.D. ELECTRICAL
19,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20105122052,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.21,2.18,2.00,1.50,1.50,2.00,3.00,,,PENCH PROJECT CELL
20,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20110122002,_________ ________ _______ 2 ______,Zone No. 2,,0.00,1.93,4.46,2.00,1.50,1.50,2.00,3.00,,,PROPERTY TAX DEPT.
21,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20115122052,_________ ________ _______ 3 _________,Zone No. 3,,0.00,1.25,1.79,2.00,1.50,1.50,2.00,3.00,,,S.T.P.
22,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20120122002,_________ ________ _______ 4 ______,Zone No. 4,,0.00,1.25,2.38,2.00,1.50,1.50,2.00,3.00,,,SOCIAL WELFARE
23,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20125122052,_________ ________ _______ 5 ________,Zone No. 5,,0.00,1.25,2.10,2.00,1.50,1.50,2.00,3.00,,,SPORT & CULTURAL DEPT.
24,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20130122002,_________ ________ _______ 6 ________,Zone No. 6,,0.00,1.25,1.85,2.00,1.50,1.50,2.00,3.00,,,TOWN PLANNING
25,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20135122052,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,2.17,1.89,2.00,1.50,1.50,2.00,3.00,,,TRAFFIC DEPT.
26,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20140122002,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.73,2.05,2.00,1.50,1.50,2.00,3.00,,,WATER WORKS
27,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20145122052,_________ ________ _______ 9 ______,Zone No. 9,,0.00,1.25,1.22,2.00,1.50,1.50,2.00,3.00,,,WORK SHOP
28,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20150122002,_________ ________ _______ 10 ________,Zone No. 10,,0.00,1.26,1.87,2.00,1.50,1.50,2.00,3.00,,,Zone No. 1
29,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120411,______ _ ___ ____ ____,G.A.D.,,1.51,1.00,1.42,1.50,1.50,1.50,1.50,1.50,,,Zone No. 10
30,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100121312,____ ____,G.A.D.,,19.89,19.86,19.29,20.00,10.00,10.00,15.00,20.00,,,Zone No. 2
31,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120213,___________ _____,G.A.D.,,0.89,1.54,1.69,5.00,5.00,5.00,5.00,5.00,,,Zone No. 3
32,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120214,________ _____,G.A.D.,,226.79,128.58,156.13,200.00,150.00,150.00,150.00,150.00,,,Zone No. 4
33,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120715,_____,G.A.D.,,1.45,0.16,0.59,5.00,3.00,3.00,5.00,5.00,,,Zone No. 5
34,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122016,____ ______/_____ _______/___ ______ ______ _____,G.A.D.,,0.80,0.84,0.92,1.00,1.50,1.50,2.00,5.00,,,Zone No. 6
35,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20102520117,"______ _ ___ ____ _________, _______ _____ ____ ___ _ ________",MUNICIPAL SECRETARIAT ,,18.55,13.80,18.38,20.00,20.00,20.00,20.00,20.00,,,Zone No. 7
36,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100121218,_______ _ ________ _____ __________ _________ _____ ______ ____,G.A.D.,,16.54,14.21,14.53,15.00,20.00,20.00,20.00,20.00,,,Zone No. 8
37,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122019,______ _ ______ ____,G.A.D.,,3.78,2.32,2.87,10.00,25.00,25.00,20.00,10.00,,,Zone No. 9
38,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20102521720,_______ ____________ _____ ____,MUNICIPAL SECRETARIAT ,,9.44,11.26,11.32,40.00,20.00,40.00,25.00,40.00,,,
39,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20200422021,__________ ________ ____,ACCOUNTS AND FINANCE,,16.81,16.33,14.92,15.00,20.00,20.00,20.00,20.00,,,Section
40,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20300422322,_______ _______ _______,ACCOUNTS AND FINANCE,,0.00,3.99,2.75,5.00,10.00,10.00,15.00,15.00,,,A2 Revenue Expenditure
41,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20102522009,______ ____,MUNICIPAL SECRETARIAT ,,0.00,0.00,0.00,10.00,5.00,5.00,5.00,10.00,,,A4 Capital Expenditure
42,A2 Revenue Expenditure,0 General Administration,Election and census,A20400122423,_______ ____,G.A.D.,,101.40,258.01,10.34,10.00,10.00,10.00,500.00,800.00,,,A6 Deposit Refund
43,A2 Revenue Expenditure,0 General Administration,Election and census,A20400122424,______ ____,G.A.D.,,8.97,155.99,2.40,25.00,50.00,50.00,200.00,100.00,,,A8 Advances Given
44,A2 Revenue Expenditure,0 General Administration,Legal Process,A20500121425,________ ______ ____,G.A.D.,,33.40,54.90,46.76,75.00,60.00,60.00,70.00,75.00,,,
45,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600820226,"_____ ____ _____, ________ _______, ____ _______ _________ _______ ____ _ ________ __ _______ _ ___ ______",ESTATE DEPT.,,0.27,0.22,0.21,20.00,10.00,10.00,15.00,50.00,,,Function Group
46,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600822527,_______ _______,ESTATE DEPT.,,0.00,0.08,0.00,1.00,1.00,1.00,1.00,1.00,,,0 General Administration
47,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600830801,_._.__. ____ _________ __________ _____ ____,ESTATE DEPT.,,5.57,20.49,31.72,75.00,20.00,20.00,25.00,100.00,,,1 Planning and Regulation
48,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200440701,______ _____ __________ ______/______ ______ ____________ _._.__. __ ______,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,,,2 Public Works and Civic Amenities
49,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20201340702,______ _ _______ _________ ___ (__________ 5 _____),P.W.D.,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,3 Health
50,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200441703,_____ ____ _______ ,ACCOUNTS AND FINANCE,,0.00,852.69,2667.75,2500.00,2500.00,2500.00,0.00,2500.00,,,4 Sanitation and SWM
51,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200441804,______ ______ _______ _____ ______ ____,ACCOUNTS AND FINANCE,,269.87,2.14,29.90,1500.00,150.00,100.00,0.00,1200.00,,,5 Public Education
52,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001810001,_______ ________ ____,TOWN PLANNING,,160.62,153.55,190.69,150.00,180.00,180.00,185.00,185.00,,,6 Urban Forestry and Environmental Activities
53,A2 Revenue Expenditure,1 Planning and Regulation,Encroachment Removal ,A21200910002,________ ________ ____,ENFORCE. DEPT.,,74.40,88.32,96.63,100.00,90.00,90.00,95.00,95.00,,,7 Urban Poverty Alleviation and Social Welfare
54,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001820201,________ _____ _____ _ ______ ____,TOWN PLANNING,,7.68,0.85,0.53,6.00,2.00,10.00,2.00,15.00,,,8 Other Services
55,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001822602,________ _______ __________ ______ ____ ____ _ _____ _____ __________,TOWN PLANNING,,0.00,0.00,83.43,500.00,75.00,50.00,100.00,500.00,,,9 Revenue and Tax
56,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001322603,___________ _____ __________ ______ ____ _______ ____,P.W.D.,,0.00,0.00,0.00,10.00,5.00,5.00,5.00,10.00,,,
57,A2 Revenue Expenditure,1 Planning and Regulation,Encroachment Removal ,A21200922004,______ ____,ENFORCE. DEPT.,,0.00,0.45,1.07,20.00,10.00,10.00,10.00,20.00,,,
58,A2 Revenue Expenditure,1 Planning and Regulation,Fire Services,A22600322605,___ ____ __________ ______ _______ ____ ,ENFORCE. DEPT.,,0.00,0.00,0.00,50.00,5.00,5.00,10.00,25.00,,,
59,A2 Revenue Expenditure,1 Planning and Regulation,Encroachment Removal ,A21200930801,________ _______ ________ _ ________ ___ ________ ____,ENFORCE. DEPT.,,0.00,0.00,0.00,15.00,5.00,5.00,5.00,15.00,,,
60,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001310001,_________ ________ ________,P.W.D.,,866.27,940.02,1122.03,900.00,1150.00,1150.00,1200.00,1100.00,,,
61,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301710002,______ _____ ________ ____,P.W.D. ELECTRICAL,,461.40,331.53,460.46,350.00,515.00,515.00,525.00,525.00,,,
62,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600310003,________ _____ ________ ____,FIRE DEPT.,,864.98,902.22,971.02,850.00,1025.00,1025.00,1075.00,1075.00,,,
63,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22702110004,_______ _____ ________ ____,WORK SHOP,,98.33,111.61,115.55,110.00,125.00,125.00,130.00,130.00,,,
64,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex ,A22800710005,_____ _____ ________ ____,MARKET DEPT.,,160.00,186.19,218.57,175.00,225.00,225.00,230.00,230.00,,,
65,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001320101,_________ ____ (______ ____ ____),P.W.D.,,2.82,2.09,2.19,2.00,3.00,3.00,3.00,3.00,,,
66,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301722002,______ ____,P.W.D. ELECTRICAL,,2.44,2.52,7.08,10.00,10.00,10.00,10.00,10.00,,,
67,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600320703,_____ _ _______ _____,FIRE DEPT.,,5.32,2.65,8.17,5.00,10.00,10.00,5.00,100.00,,,
68,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600322004,______ ____,FIRE DEPT.,,19.17,19.13,20.87,20.00,25.00,25.00,25.00,25.00,,,
69,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Central Office/administration,A20100121805,_____ ____ _______ ____,G.A.D.,,133.66,139.23,130.90,175.00,170.00,170.00,175.00,175.00,,,
70,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Central Office/administration,A22702122006,______ ____,WORK SHOP,,18.06,7.61,14.21,5.00,5.00,5.00,5.00,5.00,,,
71,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex ,A22801322807,"_____, _____ _ __________ ___, ___________ ______ ____ __________ ____",P.W.D.,,0.00,0.00,1.41,100.00,25.00,25.00,50.00,75.00,,,
72,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330801,_._.__.__./_____ ____ ___ _____ __________ ________ _ ________,P.W.D.,,763.27,1391.99,2144.67,500.00,1100.00,1150.00,1000.00,1500.00,,,
73,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330802,_______ ___ __________ _________ ________ _ ________ ____,P.W.D.,,684.62,1786.19,3149.80,5000.00,2500.00,5000.00,2000.00,5000.00,,,
74,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330803,"_____ _______ ________ _______ _____ _____ _____ø_ (______ _________, ________ _ ________ ____) (__. 30 ____ _____ ______ _______ __. 2130 ____ ____ ______ ___. 72 _____ __. 45 ____ _____ _ ______ ____________ _________ __. 15 ____ _______ __. 75 ____ _____ _____) ________ _____ __. 1000 ____ _____, _______ ___________ __. _______, ______ _____ _____ _______ ______",P.W.D.,,790.84,1818.72,1662.97,3850.00,3850.00,3350.00,1000.00,3250.00,,,
75,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330804,_______ ______ _______ _________ ________ ____,P.W.D.,,0.00,0.49,11.50,25.00,5.00,5.00,5.00,75.00,,,
76,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430805,_______ ___________ ________ ________ _ _______ ____,HOTMIX,,94.78,411.72,464.34,895.00,300.00,400.00,400.00,800.00,,,
77,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430806,___________ ___ _____ _ ___ _____/____ __ ________,HOTMIX,,44.94,33.87,50.49,100.00,30.00,30.00,25.00,100.00,,,
78,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22005130852,_________ ________ _______ 1 __________,Zone No. 1,,0.00,4.29,8.08,10.00,3.00,3.00,2.50,10.00,,,
79,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22010130802,_________ ________ _______ 2 ______,Zone No. 2,,0.00,3.09,3.00,10.00,3.00,3.00,2.50,10.00,,,
80,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22015130852,_________ ________ _______ 3 _________,Zone No. 3,,0.00,2.33,6.61,10.00,3.00,3.00,2.50,10.00,,,
81,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22020130802,_________ ________ _______ 4 ______,Zone No. 4,,0.00,5.08,6.41,10.00,3.00,3.00,2.50,10.00,,,
82,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22025130852,_________ ________ _______ 5 ________,Zone No. 5,,0.00,3.20,2.41,10.00,3.00,3.00,2.50,10.00,,,
83,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22030130802,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.84,2.10,10.00,3.00,3.00,2.50,10.00,,,
84,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22035130852,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,4.33,12.43,10.00,3.00,3.00,2.50,10.00,,,
85,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22040130802,_________ ________ _______ 8 ______,Zone No. 8,,0.00,2.34,1.54,10.00,3.00,3.00,2.50,10.00,,,
86,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22045130852,_________ ________ _______ 9 ______,Zone No. 9,,0.00,2.33,4.95,10.00,3.00,3.00,2.50,10.00,,,
87,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22050130802,_________ ________ _______ 10 ________,Zone No. 10,,0.00,6.00,2.96,10.00,3.00,3.00,2.50,10.00,,,
88,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430807,_____ ______ _ ________ __________ ___ ________ ,HOTMIX,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
89,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430808,___ _____ ______ _________ _________,HOTMIX,,176.81,127.98,213.74,800.00,150.00,150.00,200.00,700.00,,,
90,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430809,________ ________ ________ _ ________,HOTMIX,,44.54,46.09,26.71,50.00,25.00,25.00,25.00,50.00,,,
91,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430110,________ __________ ____ _____,HOTMIX,,154.12,174.99,156.80,250.00,150.00,150.00,150.00,300.00,,,
92,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001332011,______ ____,P.W.D.,,4.78,3.22,7.88,10.00,10.00,10.00,10.00,10.00,,,
93,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330812,________ _______ _________ ________ _ __________ ____,P.W.D.,,73.97,56.23,67.38,100.00,55.00,55.00,50.00,100.00,,,
94,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22005130853,_________ ________ _______ 1 __________,Zone No. 1,,0.00,7.31,2.98,10.00,5.00,5.00,5.00,10.00,,,
95,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22010130803,_________ ________ _______ 2 ______,Zone No. 2,,0.00,4.98,8.68,10.00,5.00,5.00,5.00,10.00,,,
96,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22015130853,_________ ________ _______ 3 _________,Zone No. 3,,0.00,8.66,5.17,10.00,5.00,5.00,5.00,10.00,,,
97,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22020130803,_________ ________ _______ 4 ______,Zone No. 4,,0.00,3.99,8.64,10.00,5.00,5.00,5.00,10.00,,,
98,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22025130853,_________ ________ _______ 5 ________,Zone No. 5,,0.00,5.23,6.66,10.00,5.50,5.50,5.00,10.00,,,
99,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22030130803,_________ ________ _______ 6 ________,Zone No. 6,,0.00,3.02,8.13,10.00,5.50,5.50,5.00,10.00,,,
100,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22035130853,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,7.86,7.20,10.00,5.50,5.50,5.00,10.00,,,
101,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22040130803,_________ ________ _______ 8 ______,Zone No. 8,,0.00,3.07,7.86,10.00,5.50,5.50,5.00,10.00,,,
102,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22045130853,_________ ________ _______ 9 ______,Zone No. 9,,0.00,3.59,3.45,10.00,5.50,5.50,5.00,10.00,,,
103,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22050130803,_________ ________ _______ 10 ________,Zone No. 10,,0.00,8.52,8.61,10.00,5.50,5.50,5.00,10.00,,,
104,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Bridges & Fly over ,A22101330813,______ ________ _ ________,P.W.D.,,4.82,17.21,0.00,50.00,10.00,10.00,10.00,50.00,,,
105,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301730914,___________ ________ _________ ____ (_______ _____),P.W.D. ELECTRICAL,,2158.51,2583.63,3298.55,2000.00,2500.00,2500.00,3000.00,2500.00,,,
106,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301730815,__________ ________ _ ________ ____,P.W.D. ELECTRICAL,,1166.35,895.67,1438.30,3000.00,1300.00,1300.00,1500.00,2000.00,,,
107,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301732016,_.__.__.__. ____ _______ ________ ___ _____,P.W.D. ELECTRICAL,,37.47,22.63,23.89,25.00,10.00,10.00,15.00,25.00,,,
108,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22401330817,_________ _________ _______ _______ _________ ________ _ ________ ____,P.W.D.,,49.59,49.82,103.43,200.00,65.00,65.00,50.00,200.00,,,
109,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22405130854,_________ ________ _______ 1 __________,Zone No. 1,,0.00,3.98,8.08,20.00,6.50,6.50,5.00,20.00,,,
110,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22410130804,_________ ________ _______ 2 ______,Zone No. 2,,0.00,3.94,9.50,20.00,6.50,6.50,5.00,20.00,,,
111,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22415130854,_________ ________ _______ 3 _________,Zone No. 3,,0.00,4.36,16.04,20.00,6.50,6.50,5.00,20.00,,,
112,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22420130804,_________ ________ _______ 4 ______,Zone No. 4,,0.00,4.75,9.91,20.00,6.50,6.50,5.00,20.00,,,
113,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22425130854,_________ ________ _______ 5 ________,Zone No. 5,,0.00,1.65,7.49,20.00,6.50,6.50,5.00,20.00,,,
114,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22430130804,_________ ________ _______ 6 ________,Zone No. 6,,0.00,4.44,3.34,20.00,6.50,6.50,5.00,20.00,,,
115,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22435130854,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,3.92,9.36,20.00,6.50,6.50,5.00,20.00,,,
116,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22440130804,_________ ________ _______ 8 ______,Zone No. 8,,0.00,1.95,7.09,20.00,6.50,6.50,5.00,20.00,,,
117,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22445130854,_________ ________ _______ 9 ______,Zone No. 9,,0.00,12.52,20.44,20.00,6.50,6.50,5.00,20.00,,,
118,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22450130804,_________ ________ _______ 10 ________,Zone No. 10,,0.00,8.31,12.18,20.00,6.50,6.50,5.00,20.00,,,
119,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Traffic Management ,A22501530818,________ _ ___________ ________,TRAFFIC DEPT.,,2.18,9.38,19.83,50.00,20.00,20.00,20.00,50.00,,,
120,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Traffic Management ,A22501730819,______ ____________ _ ___________ ______ _ ________,P.W.D. ELECTRICAL,,10.05,33.83,0.00,75.00,10.00,10.00,10.00,75.00,,,
121,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Traffic Management ,A22501530820,_______ _______,TRAFFIC DEPT.,,13.56,0.00,70.06,50.00,15.00,15.00,20.00,50.00,,,
122,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Traffic Management ,A22501530821,______ _________ _______,TRAFFIC DEPT.,,86.45,38.78,21.68,50.00,20.00,20.00,15.00,150.00,,,
123,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Traffic Management ,A22501530822,_______ _________ _______,TRAFFIC DEPT.,,20.88,23.84,136.86,75.00,90.00,90.00,25.00,100.00,,,
124,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600332023,"_________ __________ _______ _____ _______, _____________ _____ _ ________ _ ________",FIRE DEPT.,,40.82,19.99,64.89,50.00,30.00,30.00,30.00,50.00,,,
