Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
22,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20120122002,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,1.25,2.38,2.00,1.50,1.50,2.00,3.00,,,SOCIAL WELFARE
23,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20125122052,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,1.25,2.10,2.00,1.50,1.50,2.00,3.00,,,SPORT & CULTURAL DEPT.
24,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20130122002,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,1.25,1.85,2.00,1.50,1.50,2.00,3.00,,,TOWN PLANNING
25,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20135122052,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,2.17,1.89,2.00,1.50,1.50,2.00,3.00,,,TRAFFIC DEPT.
26,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20140122002,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,0.73,2.05,2.00,1.50,1.50,2.00,3.00,,,WATER WORKS
27,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20145122052,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,1.25,1.22,2.00,1.50,1.50,2.00,3.00,,,WORK SHOP
28,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20150122002,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,1.26,1.87,2.00,1.50,1.50,2.00,3.00,,,Zone No. 1
29,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120411,तिकीटे व डाक रसीद खर्च,G.A.D.,,1.51,1.00,1.42,1.50,1.50,1.50,1.50,1.50,,,Zone No. 10
30,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100121312,विमा खर्च,G.A.D.,,19.89,19.86,19.29,20.00,10.00,10.00,15.00,20.00,,,Zone No. 2
31,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120213,वर्तमानपत्र खरेदी,G.A.D.,,0.89,1.54,1.69,5.00,5.00,5.00,5.00,5.00,,,Zone No. 3
32,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120214,स्टेशनरी खरेदी,G.A.D.,,226.79,128.58,156.13,200.00,150.00,150.00,150.00,150.00,,,Zone No. 4
33,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100120715,गणवेश,G.A.D.,,1.45,0.16,0.59,5.00,3.00,3.00,5.00,5.00,,,Zone No. 5
34,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122016,निगम आयुक्त/मुख्य अभियंता/अपर आयुक्त आतिथ्य भत्ता,G.A.D.,,0.80,0.84,0.92,1.00,1.50,1.50,2.00,5.00,,,Zone No. 6
35,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20102520117,"उपविधी व ईतर छपाई पदाधिकारी, नगरसेवक यांचे लेटर पॅड व स्टेशनरी",MUNICIPAL SECRETARIAT ,,18.55,13.80,18.38,20.00,20.00,20.00,20.00,20.00,,,Zone No. 7
36,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100121218,अधिकारी व कर्मचारी यांचा कार्यालयीन कामाकरीता येणार प्रवास खर्च,G.A.D.,,16.54,14.21,14.53,15.00,20.00,20.00,20.00,20.00,,,Zone No. 8
37,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20100122019,सत्कार व स्वागत खर्च,G.A.D.,,3.78,2.32,2.87,10.00,25.00,25.00,20.00,10.00,,,Zone No. 9
38,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20102521720,वार्षिक अर्थसंकल्पीय सभेचा खर्च,MUNICIPAL SECRETARIAT ,,9.44,11.26,11.32,40.00,20.00,40.00,25.00,40.00,,,
39,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20200422021,कार्यालयीन प्रकीर्ण व्यय,ACCOUNTS AND FINANCE,,16.81,16.33,14.92,15.00,20.00,20.00,20.00,20.00,,,Section
40,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20300422322,लेखांकन पध्दतीत सुधारणा,ACCOUNTS AND FINANCE,,0.00,3.99,2.75,5.00,10.00,10.00,15.00,15.00,,,A2 Revenue Expenditure
41,A2 Revenue Expenditure,0 General Administration,G.A.D.,A20102522009,किरकोळ खर्च,MUNICIPAL SECRETARIAT ,,0.00,0.00,0.00,10.00,5.00,5.00,5.00,10.00,,,A4 Capital Expenditure
42,A2 Revenue Expenditure,0 General Administration,Election and census,A20400122423,निवडणुक खर्च,G.A.D.,,101.40,258.01,10.34,10.00,10.00,10.00,500.00,800.00,,,A6 Deposit Refund
43,A2 Revenue Expenditure,0 General Administration,Election and census,A20400122424,जनगणना खर्च,G.A.D.,,8.97,155.99,2.40,25.00,50.00,50.00,200.00,100.00,,,A8 Advances Given
44,A2 Revenue Expenditure,0 General Administration,Legal Process,A20500121425,प्रकीर्ण अभियोग खर्च,G.A.D.,,33.40,54.90,46.76,75.00,60.00,60.00,70.00,75.00,,,
45,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600820226,"प्लेन टेबल सर्वे, ड्राईगचे साहित्य, सीटी सर्व्हे प्लॅनच्या प्रतिचा खर्च व स्कॅनिंग ऑफ रेकार्ड व इतर व्यर्य",ESTATE DEPT.,,0.27,0.22,0.21,20.00,10.00,10.00,15.00,50.00,,,Function Group
46,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600822527,जमिनीचा शेतसारा,ESTATE DEPT.,,0.00,0.08,0.00,1.00,1.00,1.00,1.00,1.00,,,0 General Administration
47,A2 Revenue Expenditure,0 General Administration,Land and Estate,A20600830801,म.न.पा. च्या मालकीच्या मालमत्तेला कुंपण करणे,ESTATE DEPT.,,5.57,20.49,31.72,75.00,20.00,20.00,25.00,100.00,,,1 Planning and Regulation
48,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200440701,नागपूर सुधार प्रन्यासला अंशदान/मेट्रो रेल्वे प्रकलपाकरीता म.न.पा. चे अशंदान,ACCOUNTS AND FINANCE,,0.00,0.00,0.00,5.00,5.00,5.00,5.00,5.00,,,2 Public Works and Civic Amenities
49,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20201340702,नागरीक व अशासकीय संस्थांना मदत (अनुदानातून 5 टक्के),P.W.D.,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,3 Health
50,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200441703,अदत्त देणे मजहसुली ,ACCOUNTS AND FINANCE,,0.00,852.69,2667.75,2500.00,2500.00,2500.00,0.00,2500.00,,,4 Sanitation and SWM
51,A2 Revenue Expenditure,0 General Administration,Accounts and Finance,A20200441804,बांधील महसुली खर्चाची तरतुद उपलब्ध करणे,ACCOUNTS AND FINANCE,,269.87,2.14,29.90,1500.00,150.00,100.00,0.00,1200.00,,,5 Public Education
52,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001810001,नगररचना आस्थापना व्यय,TOWN PLANNING,,160.62,153.55,190.69,150.00,180.00,180.00,185.00,185.00,,,6 Urban Forestry and Environmental Activities
53,A2 Revenue Expenditure,1 Planning and Regulation,Encroachment Removal ,A21200910002,प्रर्वतन आस्थापना व्यय,ENFORCE. DEPT.,,74.40,88.32,96.63,100.00,90.00,90.00,95.00,95.00,,,7 Urban Poverty Alleviation and Social Welfare
54,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001820201,ड्रॉईगचे सामान खरेदी व किरकोळ खर्च,TOWN PLANNING,,7.68,0.85,0.53,6.00,2.00,10.00,2.00,15.00,,,8 Other Services
55,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001822602,ाहरविकास योजनेचा प्रस्तावित आराखडा तयार करणे व विकास योजना अंमलबाजवणी,TOWN PLANNING,,0.00,0.00,83.43,500.00,75.00,50.00,100.00,500.00,,,9 Revenue and Tax
56,A2 Revenue Expenditure,1 Planning and Regulation,City and Town Planning/Building Regulation ,A21001322603,प्रभागांवचा विकास प्रबंधनाचा आराखडा तयार निर्माण करणे,P.W.D.,,0.00,0.00,0.00,10.00,5.00,5.00,5.00,10.00,,,
57,A2 Revenue Expenditure,1 Planning and Regulation,Encroachment Removal ,A21200922004,किरकोळ खर्च,ENFORCE. DEPT.,,0.00,0.45,1.07,20.00,10.00,10.00,10.00,20.00,,,
58,A2 Revenue Expenditure,1 Planning and Regulation,Fire Services,A22600322605,शहर आपदा प्रबंधनाचा आराखडा निर्माण करणे ,ENFORCE. DEPT.,,0.00,0.00,0.00,50.00,5.00,5.00,10.00,25.00,,,
59,A2 Revenue Expenditure,1 Planning and Regulation,Encroachment Removal ,A21200930801,प्रर्वतन विभगाचे सुस्थिती व दुरुस्ती आणि प्रर्वतन व्यय,ENFORCE. DEPT.,,0.00,0.00,0.00,15.00,5.00,5.00,5.00,15.00,,,
60,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001310001,नगरयंत्री कार्यालय आस्थापना,P.W.D.,,866.27,940.02,1122.03,900.00,1150.00,1150.00,1200.00,1100.00,,,
61,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301710002,प्रकाश विभगा आस्थापना व्यय,P.W.D. ELECTRICAL,,461.40,331.53,460.46,350.00,515.00,515.00,525.00,525.00,,,
62,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600310003,अग्निशमन विभाग आस्थापना व्यय,FIRE DEPT.,,864.98,902.22,971.02,850.00,1025.00,1025.00,1075.00,1075.00,,,
63,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22702110004,कारखाना विभाग आस्थापना व्यय,WORK SHOP,,98.33,111.61,115.55,110.00,125.00,125.00,130.00,130.00,,,
64,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex ,A22800710005,बाजार विभाग आस्थापना व्यय,MARKET DEPT.,,160.00,186.19,218.57,175.00,225.00,225.00,230.00,230.00,,,
65,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001320101,प्रशासकीय खर्च (निविदा अर्ज छपाई),P.W.D.,,2.82,2.09,2.19,2.00,3.00,3.00,3.00,3.00,,,
66,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301722002,किरकोळ खर्च,P.W.D. ELECTRICAL,,2.44,2.52,7.08,10.00,10.00,10.00,10.00,10.00,,,
67,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600320703,गणवेश व साहित्य खरेदी,FIRE DEPT.,,5.32,2.65,8.17,5.00,10.00,10.00,5.00,100.00,,,
68,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600322004,किरकोळ खर्च,FIRE DEPT.,,19.17,19.13,20.87,20.00,25.00,25.00,25.00,25.00,,,
69,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Central Office/administration,A20100121805,खाजगी वाहन भाडयाने धेणे,G.A.D.,,133.66,139.23,130.90,175.00,170.00,170.00,175.00,175.00,,,
70,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Central Office/administration,A22702122006,किरकोळ खर्च,WORK SHOP,,18.06,7.61,14.21,5.00,5.00,5.00,5.00,5.00,,,
71,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex ,A22801322807,"बांधा, वापरा व हस्तांतरीत करा, प्रकल्पांचा आराखडा तयार करण्यासाठी व्यय",P.W.D.,,0.00,0.00,1.41,100.00,25.00,25.00,50.00,75.00,,,
72,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330801,ए.र.वि.यो./क्रिप तसेच इतर मुख्य रस्त्यांची सुस्थिती व दुरुस्ती,P.W.D.,,763.27,1391.99,2144.67,500.00,1100.00,1150.00,1000.00,1500.00,,,
73,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330802,शहरातील इतर रस्त्यांचे डांबरीकरण सुस्थीती व दुरुस्ती करणे,P.W.D.,,684.62,1786.19,3149.80,5000.00,2500.00,5000.00,2000.00,5000.00,,,
74,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330803,"पंडित दिनदयाल उपाध्याय अंतर्गत रस्ते सुधार कार्यøम (रस्तचे डांबरीकरण, सुस्थीती व दुरुस्ती करणे) (रु. 30 लक्ष प्रती प्रभाग प्रमाणे रु. 2130 लक्ष तसेच प्रीाग क्र. 72 करिता रु. 45 लक्ष राखीव व मनोनीत सदस्यांकरिता प्रत्येकी रु. 15 लक्ष प्रमाणे रु. 75 लक्ष राखीव तरतुद) अतिरीक्त तरतुद रु. 1000 लक्ष राखीव, वित्तीय मान्यतेसाठी मा. अध्यक्ष, स्थायी समिती यांची मान्यता आवश्यक",P.W.D.,,790.84,1818.72,1662.97,3850.00,3850.00,3350.00,1000.00,3250.00,,,
75,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330804,शहरातील सिमेंट कॉक्रीट रस्त्याचे दुरुस्ती करणे,P.W.D.,,0.00,0.49,11.50,25.00,5.00,5.00,5.00,75.00,,,
76,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430805,शहरातील रस्त्यावरील खड्डयाची सुस्थीती व दुरुसती करणे,HOTMIX,,94.78,411.72,464.34,895.00,300.00,400.00,400.00,800.00,,,
77,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430806,रस्त्यावरील टार पॅचेस व रोड कटींग/केबल कट दुरुस्ती,HOTMIX,,44.94,33.87,50.49,100.00,30.00,30.00,25.00,100.00,,,
78,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22005130852,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,4.29,8.08,10.00,3.00,3.00,2.50,10.00,,,
79,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22010130802,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,3.09,3.00,10.00,3.00,3.00,2.50,10.00,,,
80,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22015130852,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,2.33,6.61,10.00,3.00,3.00,2.50,10.00,,,
81,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22020130802,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,5.08,6.41,10.00,3.00,3.00,2.50,10.00,,,
82,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22025130852,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,3.20,2.41,10.00,3.00,3.00,2.50,10.00,,,
83,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22030130802,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,0.84,2.10,10.00,3.00,3.00,2.50,10.00,,,
84,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22035130852,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,4.33,12.43,10.00,3.00,3.00,2.50,10.00,,,
85,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22040130802,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,2.34,1.54,10.00,3.00,3.00,2.50,10.00,,,
86,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22045130852,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,2.33,4.95,10.00,3.00,3.00,2.50,10.00,,,
87,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22050130802,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,6.00,2.96,10.00,3.00,3.00,2.50,10.00,,,
88,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430807,फिरते देखभाल व दुरुस्ती पथकामार्फत सडक दुरुस्ती ,HOTMIX,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
89,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430808,हॉट मिक्स व्दारा रस्त्याचे डांबरीकरण,HOTMIX,,176.81,127.98,213.74,800.00,150.00,150.00,200.00,700.00,,,
90,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430809,हॉटमिक्स प्लॅटन्ट सुस्थिती व दुरुस्ती,HOTMIX,,44.54,46.09,26.71,50.00,25.00,25.00,25.00,50.00,,,
91,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001430110,हॉटमिक्स प्लॅटकरीता इंधन खरेदी,HOTMIX,,154.12,174.99,156.80,250.00,150.00,150.00,150.00,300.00,,,
92,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001332011,किरकोळ खर्च,P.W.D.,,4.78,3.22,7.88,10.00,10.00,10.00,10.00,10.00,,,
93,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22001330812,प्रभागात तातडीने घ्यावयाची सुस्थिती व दुरुस्तीचे कामे,P.W.D.,,73.97,56.23,67.38,100.00,55.00,55.00,50.00,100.00,,,
94,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22005130853,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,7.31,2.98,10.00,5.00,5.00,5.00,10.00,,,
95,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22010130803,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,4.98,8.68,10.00,5.00,5.00,5.00,10.00,,,
96,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22015130853,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,8.66,5.17,10.00,5.00,5.00,5.00,10.00,,,
97,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22020130803,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,3.99,8.64,10.00,5.00,5.00,5.00,10.00,,,
98,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22025130853,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,5.23,6.66,10.00,5.50,5.50,5.00,10.00,,,
99,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22030130803,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,3.02,8.13,10.00,5.50,5.50,5.00,10.00,,,
100,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22035130853,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,7.86,7.20,10.00,5.50,5.50,5.00,10.00,,,
101,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22040130803,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,3.07,7.86,10.00,5.50,5.50,5.00,10.00,,,
102,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22045130853,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,3.59,3.45,10.00,5.50,5.50,5.00,10.00,,,
103,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Roads and Pavements & Others Civic works,A22050130803,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,8.52,8.61,10.00,5.50,5.50,5.00,10.00,,,
104,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Bridges & Fly over ,A22101330813,पुलाची सुस्थिती व दुरुस्ती,P.W.D.,,4.82,17.21,0.00,50.00,10.00,10.00,10.00,50.00,,,
105,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301730914,रस्त्यावरील विजेच्या दिव्यांचा खर्च (विद्युत देयके),P.W.D. ELECTRICAL,,2158.51,2583.63,3298.55,2000.00,2500.00,2500.00,3000.00,2500.00,,,
106,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301730815,पथदिव्याची सुस्थिती व दुरुस्ती करणे,P.W.D. ELECTRICAL,,1166.35,895.67,1438.30,3000.00,1300.00,1300.00,1500.00,2000.00,,,
107,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Street Lighting ,A22301732016,म.रा.वि.मं. च्या विद्युत खांबांवर फेज टाकणे,P.W.D. ELECTRICAL,,37.47,22.63,23.89,25.00,10.00,10.00,15.00,25.00,,,
108,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Storm Water & Drains ,A22401330817,क्षेत्रिय कार्यालया अंर्तगत पावसाळी नाल्यांचा सुस्थिती व दुरुस्ती खर्च,P.W.D.,,49.59,49.82,103.43,200.00,65.00,65.00,50.00,200.00,,,
